# Dt pitch noise nIonTot sigma nPixTot sigma sigTot sigma maxH sigma alpha
 8.0 9.0 10.0 94756.1346982 124.519165147 132.264179088 26.3201985781 94759.4327912 161.987176401 5153.78118813 1140.1919364 -0.00207917676385
 3.0 5.0 20.0 94764.9827709 125.220011011 140.140481741 31.6645611252 94757.7526357 256.28775641 5240.37804099 968.545155603 -0.00340193346852
 5.0 1.0 20.0 94758.1858723 129.059398366 1305.02764153 4247.60380956 94193.3471655 1370.97077606 153.829400896 43.4360629426 -19.4648161646
 10.0 1.0 10.0 94768.4101203 134.650190375 965.036900725 4110.77606773 93131.6241613 1929.28144767 74.2874310209 19.8755822356 277.583701348
 9.0 3.0 10.0 94759.6689636 129.178273668 1011.72586009 297.97808019 94752.8681982 340.675595151 361.42156188 253.661311904 5.26199201856
 10.0 2.0 30.0 94759.685653 121.884219997 1693.17184417 1383.21932875 94743.5050075 1480.02611813 155.66614977 110.490929488 1.72066924657
 2.0 6.0 30.0 94760.9319735 131.214667381 76.5470865118 16.067422701 94767.8487906 280.83664111 7681.24158539 1870.35131848 1.08093165157
 9.0 9.0 20.0 94761.640417 125.788080813 149.003165345 28.1913477284 94765.4122302 276.16174873 4498.89087016 914.078142685 -0.0018591750949
 2.0 5.0 10.0 94762.9441342 121.659499022 103.140005792 22.8171628693 94766.0743733 163.622651121 5818.10192921 2190.22116006 2.13879176123
 5.0 8.0 30.0 94761.695253 127.21036548 99.1635968881 22.44959808 94761.0757518 320.090597708 6835.56508272 1449.75809821 -0.00360224697712
 4.0 1.0 10.0 94762.6095316 123.992450866 2404.21897438 3807.47847582 94467.9922838 727.448904126 170.046167561 88.6487771504 37.6078621086
 2.0 10.0 30.0 94752.7521364 129.044476695 34.7214988185 7.6581932321 94747.4398317 213.545119867 9323.52088294 2137.76823388 0.0274008658156
 8.0 3.0 20.0 94763.8076194 128.765891994 888.970313147 260.47971321 94775.2578901 599.427505825 640.393177782 114.924520211 -34.1270137912
 4.0 2.0 30.0 94754.8806737 120.112844229 886.120617772 284.238740829 94691.319092 917.865689029 545.923866652 245.97110726 2.11806517126
 7.0 4.0 20.0 94752.7423281 131.261675924 466.209123009 111.809404365 94719.1997312 451.554544878 1338.73507417 285.903657135 0.0040059152876
 6.0 7.0 30.0 94759.1357176 127.145836176 149.811568873 31.8506236318 94765.885069 399.932942377 4581.69521582 918.962889282 -0.00203523064177
 6.0 4.0 10.0 94764.4329265 124.272890494 403.152791054 92.1189669493 94769.3330811 258.142735055 1626.33267751 351.16316606 -0.00246088202491
 1.0 9.0 30.0 94766.1717584 121.464109289 28.4521850532 6.38168491286 94767.4993701 197.025423559 9461.35298504 749.326475184 0.0334707616799
 7.0 6.0 30.0 94762.4842505 126.263304359 227.841623609 46.2333833865 94775.4237665 444.855076062 2099.95713115 1116.55409759 8007.26289767
 7.0 5.0 10.0 94760.5085028 130.743951271 313.057435917 69.307911541 94754.987616 216.773121228 1485.74576238 770.64713739 3.69514093101
 7.0 10.0 30.0 94764.864038 126.199076079 95.4562217363 18.6323494808 94765.3644484 313.335288964 6765.69271011 1403.09081674 0.167253195453
 1.0 1.0 10.0 94756.8642308 134.015954115 786.928964864 460.392433033 94726.2969394 361.291254989 1010.76862681 234.670025125 -0.00454713033891
 1.0 2.0 30.0 94768.3169382 130.241579876 289.928268627 56.390659748 94738.5600416 536.367095731 3433.84728581 623.628951834 -0.00199373461071
 6.0 5.0 20.0 94756.3933357 134.521413977 264.240544236 56.3165880419 94755.853126 337.639543795 2470.73907316 499.079975297 -0.00182133053302
 8.0 8.0 20.0 94761.6206413 127.744749904 161.393163169 31.6319869614 94754.9272537 285.909356868 3017.13594486 1592.89782639 3.99258559584
 3.0 7.0 30.0 94765.3570157 129.112739603 80.2937861984 17.2817999817 94761.3182646 295.725019874 6595.46742191 3201.56192451 3.59202318539
 3.0 4.0 10.0 94762.3408105 128.227083483 204.434486521 46.2298714264 94761.5410162 188.346501864 3625.50752162 670.600027589 -0.0030852789282
 4.0 9.0 30.0 94761.6643032 123.914269278 67.9973604065 14.4789145448 94762.5345269 275.444109079 7481.41491219 3547.28800142 3.63508610421
 9.0 2.0 20.0 94748.9370073 129.952606125 2985.34186462 1215.23494015 94745.4022771 883.575376746 215.580662242 106.722884736 0.98988662062
 5.0 3.0 30.0 94754.9523011 125.995177025 539.428443027 139.554747396 94717.4266669 680.923980162 875.922758618 407.072603202 3.17939287144
 9.0 8.0 10.0 94761.9863936 133.568175459 182.599663061 33.2766571597 94768.2609099 190.771933466 3615.4002788 715.476792082 -0.00281439464965
 2.0 4.0 20.0 94755.699455 128.68152887 148.559510773 32.777657203 94766.4229827 265.687811534 5363.47159279 1054.50828839 -0.00294316404829
 10.0 9.0 30.0 94763.0334746 124.641838623 166.149370074 30.9814394233 94764.1617509 430.769390568 2899.77911513 1689.46675482 412563.155961
 8.0 2.0 10.0 94757.6992104 127.926772628 3945.75584801 1466.99825423 94718.8697027 458.685791878 111.241193246 168.28625527 30.9267719234
 8.0 1.0 30.0 94765.6994999 121.812260176 985.752133302 3314.10955917 94498.7542798 3568.70149262 70.5822482952 24.9599275602 4.05967844855
 6.0 8.0 10.0 94761.1863079 126.960303821 118.762266914 25.0807328003 94756.8398463 176.467868384 5810.63360061 1193.54133519 -0.00155862628693
 1.0 5.0 30.0 94761.2113364 125.595535625 66.7486335246 13.9098854228 94762.4767683 262.433849932 9080.07972792 1369.24747051 0.0200116413866
 1.0 6.0 10.0 94769.0021595 126.960683342 50.975242891 10.7068379357 94772.8124113 151.010499253 10126.1086591 2577566.64697 1283.03682084
 7.0 2.0 10.0 94761.6637187 131.377991669 2148.78370739 875.728980623 94720.5011412 443.246904679 364.837064919 89.8997765795 -0.00522127975819
 1.0 10.0 10.0 94762.7648206 130.07132105 24.7634295526 5.43396946312 94764.5927909 139.962311369 35001.4666054 103115.494895 9.99564841979
 7.0 1.0 30.0 94764.1314648 129.709677704 1473.00796084 3667.78186489 92291.5197396 3741.31936141 101.087983334 53.3664824935 2.43603366569
 7.0 8.0 20.0 94759.0988347 129.487118206 140.937670325 28.2644256957 94754.3057615 264.154638508 4897.68509143 994.533465689 -0.00233638611395
 6.0 2.0 20.0 94759.8273114 123.630719019 1269.27813468 370.329524062 94701.2649519 771.661438796 328.46614454 161.099536465 1.56402961448
 2.0 9.0 10.0 94764.3187328 129.704742398 40.6548764256 8.733228988 94768.954813 146.707432133 22353.541734 3964.30739794 -9.88611925728
 5.0 4.0 30.0 94762.2180122 126.444674088 326.53997774 76.9244053231 94755.4799241 538.649910138 2012.46899451 400.952757837 -0.00182579823546
 9.0 5.0 20.0 94768.621836 125.353016898 407.330217467 85.987055833 94722.5129402 423.686499074 1059.58814272 603.157833615 4.35694533299
 10.0 7.0 20.0 94757.5388878 127.887871639 257.595071217 49.1170120452 94771.0816051 341.336844151 2478.7541667 521.729508588 -0.00238329447716
 5.0 7.0 10.0 94763.8807322 131.478689758 125.033306563 26.4915679684 94765.4841711 174.730098334 5571.35445665 1125.81910011 -0.00160496816563
 3.0 3.0 10.0 94761.0116668 124.793094783 337.046463347 83.5252243278 94775.368988 223.997279933 2171.07164436 442.98837466 -0.00277721380747
 8.0 6.0 30.0 94761.4292958 127.107100779 261.888247546 50.6503337244 94756.7949455 511.632653639 2429.30190566 487.589118727 -0.00164109887217
 3.0 9.0 20.0 94759.0964585 123.692888291 54.0152353903 11.2593562443 94750.6073725 181.955363454 9266.58297176 1157.46343887 0.0208208962495
 8.0 5.0 10.0 94771.4478033 126.710292696 363.113209171 76.9246651175 94782.8329807 239.797138982 1736.38483525 379.205789667 -0.00212922273663
 4.0 7.0 20.0 94759.624574 128.576576776 102.391019614 22.3283813946 94754.2038039 238.715600757 5289.25037002 2200.86790797 2.65552780648
 8.0 10.0 30.0 94758.3328457 128.49733631 110.613845312 21.2207917586 94768.1239429 324.946552548 6168.34368632 1260.79172443 -0.00232870734845
 2.0 3.0 20.0 94767.1122292 126.832611153 239.992897391 52.289654734 94742.370249 322.894477862 3410.7917461 598.379770606 -0.00219258296638
 2.0 8.0 20.0 94762.4835405 125.01869937 48.4785592417 10.5399859201 94769.6984967 188.182057704 9842.6252873 1312.50637801 0.0175364865888
 9.0 7.0 30.0 94763.6685432 124.249225022 229.467973257 45.5512937351 94775.2517128 458.853257746 2822.26567163 587.915794203 -0.00229435013461
 10.0 5.0 30.0 94761.5865069 128.248282578 462.623870006 95.8651660527 94782.1532805 644.238458459 912.935275663 540.728576792 4.30510657126
 9.0 4.0 10.0 94759.5239339 129.731048677 602.675750644 132.643969908 94746.8217538 276.773639346 695.26836157 395.09569023 3.59210643576
 10.0 6.0 10.0 94763.6498239 127.21784124 344.424552174 65.4453176757 94765.4410524 228.208162227 1304.42570477 756.05734415 4.52455010786
 5.0 6.0 20.0 94759.1481266 127.108063723 162.259394072 35.0161652081 94753.4493698 277.640786747 4225.66676424 839.679108141 -0.00183984245385
 3.0 2.0 20.0 94757.6421157 134.417716139 682.032412823 185.293844206 94743.7554496 538.440793038 790.105108081 330.963723201 2.32982545748
 5.0 10.0 20.0 94765.1378001 122.17224808 69.1540172042 14.2601199508 94754.4399782 212.96892287 6906.34798028 149279703.376 200483.56194
 10.0 10.0 10.0 94757.8654507 130.275383187 140.42622416 23.8814904034 94758.0128917 179.54981475 4840.35094192 1016.15027368 -0.0023043787466
 3.0 8.0 10.0 94758.0223983 127.11495677 64.3196327891 14.5974019112 94766.0177883 151.829477254 7921.26525339 4366.53145515 3.09360588297
 4.0 5.0 30.0 94756.1501603 129.450029106 181.066021065 40.4616528847 94755.7972998 412.890280686 3930.54180667 730.305659489 -0.00155674028285
 8.0 4.0 20.0 94761.2517578 124.631056082 529.025699805 120.938090382 94735.8685098 464.658469136 1035.3300105 243.323744666 0.531974850418
 4.0 6.0 10.0 94759.9994488 121.14420122 132.121279735 28.8777270799 94756.8963384 177.847673295 5372.66522225 1106.53325827 -0.00342714116186
 2.0 2.0 10.0 94762.6249454 131.013677628 483.827905246 118.06937047 94759.7030656 272.483206112 1304.49669388 513.997995535 2.28559580386
 2.0 1.0 30.0 94757.6799816 122.855104713 2222.14988514 1739.29338775 94687.3333731 1255.38950291 427.353799143 128.347788403 0.00578125608751
 4.0 10.0 10.0 94760.0786499 122.82529666 56.4150835703 11.8068792294 94757.902955 152.96777509 8284.65912648 14557054.7673 13021.2560438
 6.0 9.0 20.0 94758.8116831 123.978964313 97.7158557269 20.9148520906 94762.1698059 236.860190971 5186.53790898 2424.31056009 3.35520843397
 1.0 7.0 20.0 94756.5009907 122.528496834 40.6653503239 8.77058390142 94768.2517645 178.562516009 25095.2016634 4134.26103365 -22.6429619298
 7.0 3.0 20.0 94753.256688 132.155242645 761.816708993 228.489872446 94770.1264895 584.48386191 567.699424033 284.289390849 2.73436002981
 7.0 9.0 10.0 94762.4998383 131.179720671 114.874628449 23.0388068911 94754.8405038 170.38987603 4339.39560835 2308.75498341 3.78567827192
 6.0 3.0 10.0 94757.8346018 126.612115594 658.31987237 183.110050507 94746.5894758 276.094484836 689.368576735 337.364515869 2.98054991612
 1.0 2.0 20.0 94768.316667 130.24125769 289.928268627 56.390659748 94760.2772036 388.011798253 3433.84728581 623.628951834 -0.00199373461071
 7.0 10.0 20.0 94764.864038 126.199076079 95.4562217363 18.6323494808 94764.1162768 230.01460919 6765.69271011 1403.09081674 0.167253195453
 7.0 6.0 20.0 94762.4842505 126.263304359 227.841623609 46.2333833865 94772.5459263 310.073484619 2099.95713115 1116.55409759 8007.26289767
 6.0 10.0 10.0 94748.5919344 125.046612546 81.7294369656 17.1973094472 94756.6065455 159.047159396 6195.72096059 3040.12026457 3.33822680806
 1.0 8.0 10.0 94759.5351351 121.489149579 33.6402686481 7.19607007943 94754.2184079 145.463679331 19810.7503471 2919.41632655 -2.46630933958
 6.0 5.0 30.0 94756.3933357 134.521413977 264.240544236 56.3165880419 94760.9069908 493.421664355 2470.73907316 499.079975297 -0.00182133053302
 6.0 6.0 10.0 94755.5684327 127.074750099 194.854334842 39.1194325344 94752.601382 185.52324888 3457.73755134 745.753302529 -0.00335053555859
 9.0 1.0 10.0 94759.5594821 125.689792904 858.076834361 4324.6444668 93991.3012912 1208.22158601 75.3233340991 21.6458073394 1.53574417913
 5.0 3.0 20.0 94754.9523011 125.995177025 539.428443027 139.554747396 94722.2167494 469.046780484 875.922758618 407.072603202 3.17939287144
 10.0 3.0 10.0 94761.1031982 125.144122525 1124.49716458 315.449357116 94763.1084816 348.848683813 328.239587943 210.660833044 5.11475330762
 9.0 2.0 30.0 94748.9370073 129.952606125 2985.34186462 1215.23494015 94791.32143 1223.24527186 215.580662242 106.722884736 0.98988662062
 4.0 9.0 20.0 94761.6643032 123.914269278 67.9973604065 14.4789145448 94761.3458996 202.92717036 7481.41491219 3547.28800142 3.63508610421
 3.0 7.0 20.0 94765.3570157 129.112739603 80.2937861984 17.2817999817 94763.2368052 223.168903408 6595.46742191 3201.56192451 3.59202318539
 8.0 8.0 30.0 94761.6206595 127.744742914 161.393163169 31.6319869614 94752.1704249 393.927046832 3099.89139043 1607.95011449 9221.24668022
 8.0 1.0 20.0 94765.6994999 121.812260176 985.752133302 3314.10955917 93669.6325578 2024.40885215 70.5822482952 24.9599275602 4.05967844855
